fazla_kilo,tarih,cim,pist,grup,kgs,en_iyi_derece_farkli_hipodrom,hipodrom_key,hava_durumu,son800,en_iyi_derece,fark,gec_cikis_boy,agf1_sira,kum,kosu_kodu,cins_detay,handikap,sonuc,son6,agf1,gece,mesafe,at_adi,jokey_kodu,ganyan,agf2,yas,kilo,apranti_kilo_indirimi,cim_pist_agirlik,kum_pist_agirlik,no,at_key,jokey_adi,yaris_key,nem,sahip_adi,sahip_kodu,antrenor_adi,antrenor_kodu,yetistirici_adi,derece,sicaklik,yaris_kosu_key,saat,son20,kosmaz,at_sayisi,taki,agf2_sira,start
2,30/07/2024,Normal,cim,4 Yaşlı Araplar,176,false,ANKARA,Açık,0.54.96-0.55.32,2.06.75,19 Boy,,5,Normal,211438,Handikap 15,38,4,K5K4K1K7K5K0,2.23,false,1600,BALLIYARIM,973,"34,15",<nil>,4y a k,50,0,3.3,0,3,d623add0856c96b30c7bbc5ac52aae1f,EMRAH SİNCAN,681d73383fc45b9169fa1db9cd07818d,27,ATALAY TURAN,13924,HÜSEYİN ATAŞ,1526,FEME HAY.TAR.LTD.ŞTİ.,1.49.63,27,acd67ee1d17e89b728012220d4aa44d7,14:30,17,false,6,K,<nil>,1
0,30/07/2024,Normal,kum,3 Yaşlı İngilizler,13,false,ANKARA,Açık,0.51.24,1.29.71,,,<nil>,Normal,211430,Handikap 16,63,5,K3K2K4K2K3C1,<nil>,false,1400,MOZART,889,"6,35",13.99,3y d  e,57,0,3.3,0,4,01037b8ac2317d6bf84de6412311419a,AYHAN KURŞUN,681d73383fc45b9169fa1db9cd07818d,27,MURAT AKÇA,9146,İBRAHİM BEKİROĞULLARI,57,MURAT AKÇA,1.30.98,27,bab511a7128a139726a95527d945f9c8,18:00,20,false,7,DB SK DS,4,7
0,27/07/2024,Normal,cim,3 Yaşlı İngilizler,11,false,ANKARA,Parçalı Bulutlu,0.48.60-0.48.72,1.25.73,,,3,Normal,211377,SATIŞ 1,32,5,K3C4C6C2C5C4,10.99,false,1400,DERKO,2390,"9,95",10.43,3y d  e,58,0,3.3,0,1,4befd135e6346428a367ba7c1fa076ab,SERKAN YILDIZ,d2ff816e17c1d1e41684c8bd1cc327f8,40,BAHAR BAŞ,12096,AYKUT ECEVİT BAŞ,94,SELAHADDİN DİNÇEL,1.24.48,25,e408f322747007a241241dad2aa07a65,15:30,16,false,14,KG DB SK,4,4
2,27/07/2024,Normal,kum,3 Yaşlı İngilizler,21,false,IZMIR,Açık,0.53.04-0.52.24,,,,7,Normal,211363,Handikap 16,30,6,K7K3C4,3.48,true,1900,REAL EFFECT,2697,"22,50",<nil>,3y k  e,50,0,3.3,0,7,5f636d353990d09c23577bc6aa8d93f5,CEMAL PASO,92bde2770d3aebc99e5da496f732d3ce,27,TRACY KAYAHAN,7577,ŞAKİR ÇELİK,470,TRACY KAYAHAN,2.06.51,33,9d162c7a0f8256b4cc0fd67d602df264,16:15,17,false,7,KG,<nil>,2
0,24/07/2024,,kum,3 Yaşlı İngilizler,16,false,ELAZIG,Açık,0.55.72-0.56.12,1.56.76,"3,5 Boy",,2,Normal,211270,ŞARTLI 4,41,2,K7K1K6K3K2K2,20.66,true,1700,KING OF THE CITY,2717,"3,00",<nil>,3y a  e,60,0,0,0,2,3cdfb26d8e8585164b9dadbb34d0cb76,YUSUF CENGİZ,a0366adb64d5f5fd652dc3cfc639beaa,17,MEHMET KAYA,12140,MEHMET KAYA,2830,FATİME KÜÇÜKÇAY,1.56.71,35,1f6f609532ae2805ffc8249cb22ea3cc,18:30,19,false,7,DB SK,<nil>,3
0,23/05/2024,Çok Ağır,kum,3 Yaşlı İngilizler,21,false,ANKARA,Çok Bulutlu,0.54.96-0.55.20,,Yarım Boy,,<nil>,Nemli,209908,Maiden,43,3,K4K2K2K2K3K2,<nil>,false,2000,LUKA MAGIC,2981,"3,05",17.90,3y d  e,58,4,5.1,0,2,941a5324485c4791306196e9a8088f78,FATİH SULTAN MEHMET SANSAR,7e152d4063baa75e56bf9ae3c8bd054a,68,YÜKSEL GÖKTÜRK,9256,İSMET TEKİNALP,47,YÜKSEL GÖKTÜRK,2.13.52,20,8c84ddc5786508924f3aafb5657f3db9,18:00,18,false,15,KG DB SK,1,12
0,10/07/2024,,kum,3 ve Yukarı İngilizler,12,false,ELAZIG,Yağmurlu,0.54.28-0.55.48,1.49.52,"1,5  Boy",,2,Islak,210889,ŞARTLI 3,61,1,K4K6K3K9K2K4,18.93,true,1600,TRADER,267,"3,45",<nil>,4y a  a,58,0,0,0,7,b943f555efa190e98a9a7f89f13018b4,FERİT YARDIMCI,d4cab1d3bb8f003cab575d8634f74f9a,49,HÜSEYİN BECENE,16617,VEDAT ÖNDER,2487,SEVGİ SELÇUKOĞLU,1.46.30,25,9651edc49fea14697efeec9168b06e9f,17:45,15,false,11,DB SKG SK,<nil>,5
0,10/07/2024,Normal,sentetik,3 Yaşlı İngilizler,15,false,ISTANBUL,Parçalı Bulutlu,0.50.96-0.50.76,,"4,5 Boy",,1,Normal,210885,ŞARTLI 4,70,3,K2K6C0K1K5K2,20.00,false,2200,WAR COMANDER,2879,"3,10",<nil>,3y d  e,57,3,3.3,0,1,08997662dad3ad006fbc654c9d477293,FESİH ÇETİNBAŞ,b7add705f36cf56445d953529c302952,50,NİMET ARİF KURTEL,10039,HAKAN YÜZBAŞI,439,MOZ.ORG.TAR.HAY.SAN.TİC.A.Ş.,2.22.62,33,67a0c62841d0df228042c67c9dca1cb0,14:00,18,false,8,,<nil>,5
0,09/07/2024,Normal,cim,3 Yaşlı İngilizler,14,true,ANKARA,Parçalı Bulutlu,0.47.16,1.28.00,,,<nil>,Normal,210871,Maiden,32,5,K3K5K3C4C6C2,<nil>,false,1400,DERKO,2703,"6,40",12.28,3y d  e,57,4,3.3,0,1,4befd135e6346428a367ba7c1fa076ab,İSMAİL YILDIRIM,a9ad1cbb3884e91f1e4c3ae104cd2c06,36,BAHAR BAŞ,12096,AYKUT ECEVİT BAŞ,94,SELAHADDİN DİNÇEL,1.25.73,32,a5081ed669708d873583cb961214af9c,18:00,16,false,14,KG DB SK,3,1
0,05/07/2024,Normal,cim,4 ve Yukarı Araplar,9,false,ISTANBUL,Çok Bulutlu,0.51.20-0.52.60,,,,8,Normal,210797,Handikap 15,57,7,K5K0K5K6K5K8,1.63,true,1600,ÇAĞLAYANŞELALE,3066,"31,10",2.25,7y a k,59,3,3.3,0,2,f8c3558baab8a7644027ce6129770710,MURAT KEÇECİ,4167c611824360dcb93cf2f35428806d,51,İSRAFİL FELHAN,15833,ÖMER GÜNELİ,488,FEME HAY.TAR.LTD.ŞTİ.,1.49.68,28,9925684381ebb0924ab691b772336fa9,19:30,13,false,10,KG DB SK,8,1
